Word,Count
*,164632
the,77519
to,37799
,36515
a,30227
is,28631
of,26105
and,19409
@param,19192
The,18528
in,17979
for,15099
if,12160
this,11503
that,11307
be,10888
or,10372
we,10155
source,9211
an,9108
with,9062
-,8396
are,8117
not,7510
as,7271
it,7181
=,6694
from,6160
value,5866
{,5846
function,5838
node,5536
object,5513
//,5308
array,5255
This,5194
@returns,5084
will,4810
by,4772
If,4607
on,4547
string,4421
can,4108
number,4019
code,4010
line,3781
return,3772
Returns,3663
original,3655
all,3641
which,3629
have,3595
generated,3456
file,3368
new,3340
A,3327
when,3290
given,3278
use,3151
so,3109
},3041
map,2936
only,2897
one,2894
path,2836
but,2815
column,2759
@return,2662
any,2653
at,2619
=>,2602
should,2554
name,2545
{Object},2539
no,2536
first,2519
has,2490
set,2477
than,2428
method,2400
element,2353
{string},2344
var,2328
check,2315
used,2289
property,2268
then,2256
error,2244
data,2227
mapping,2184
OR,2168
its,2128
@private,2123
into,2112
each,2078
+,2042
following,1987
true,1984
****,1939
We,1925
mappings,1917
Copyright,1877
same,1851
values,1848
#,1830
{Function},1817
found,1801
need,1772
root,1770
case,1734
null,1704
do,1700
|,1697
you,1686
See,1666
OF,1659
token,1645
type,1639
whether,1627
{String},1627
index,1617
there,1617
without,1616
THE,1603
must,1592
list,1584
next,1583
event,1555
{boolean},1538
------------------------------------------------------------------------------,1533
options,1524
because,1521
last,1515
key,1506
more,1501
returns,1492
two,1485
@example,1479
current,1474
1,1463
{Array},1441
under,1440
other,1435
false,1410
state,1402
2,1390
called,1367
version,1366
after,1361
it's,1351
An,1349
was,1340
length,1323
URL,1321
relative,1316
get,1306
input,1305
callback,1291
out,1290
don't,1277
between,1271
else,1262
objects,1255
using,1251
license,1250
before,1218
may,1212
default,1189
being,1188
match,1185
call,1179
just,1176
add,1175
LICENSE,1173
result,1169
where,1165
@memberOf,1162
instance,1160
here,1156
order,1147
end,1144
\,\,1141
It,1134
bytes,1126
-*-,1126
{number},1124
module,1122
@api,1115
});,1115
start,1115
IN,1100
character,1099
`true`,1094
MIT,1092
argument,1083
provided,1083
base,1080
returned,1070
bit,1066
\},\,1062
message,1061
like,1060
TODO:,1057
empty,1052
tree,1051
For,1047
them,1046
content,1031
find,1028
over,1026
properties,1025
remove,1020
also,1011
When,1007
single,1006
already,1003
@static,1000
these,997
some,992
In,992
3,991
time,986
up,982
public,971
eslint-disable-next-line,966
{*},963
been,961
buffer,957
ignore,956
position,956
implementation,953
elements,950
@category,945
0,932
chunk,930
{ASTNode},924
arguments,923
\source,\,921
passed,906
spec,905
names,903
they,901
stream,897
@type,896
:,894
===,889
Checks,876
support,869
would,863
Return,858
we're,857
interface,857
contributors,857
/,848
ANY,847
block,846
range,845
doesn't,845
either,835
_,833
does,826
want,821
output,818
sources,813
make,809
functions,797
files,794
strings,792
searching,790
own,789
always,789
instead,788
pass,784
Check,782
variable,777
Licensed,776
context,775
directory,773
@since,767
positions,759
methods,748
Creates,747
{void},747
item,737
iteratee,735
@author,735
above,734
until,725
Inc,724
since,721
New,720
our,719
cache,717
License,714
exact,710
};,709
arrays,708
specified,707
paths,706
information,705
copy,702
point,695
expression,694
@property,693
pattern,690
optional,690
implements,688
```,684
NOT,682
properties:,681
run,679
work,679
update,676
throw,675
create,673
BSD,670
SOFTWARE,669
{Number},666
available,665
nodes,663
possible,662
mixin,658
>,657
second,655
characters,654
->,653
(c),652
rule,652
JS,652
invoked,650
All,649
directly,647
`value`,647
Add,645
\2,\,645
flag,644
field,644
mode,644
async,642
test,641
valid,641
added,640
Used,638
Mozilla,637
AND,637
query,636
user,635
Foundation,632
0-based,626
2;,626
Optional,624
class,624
promise,623
or:,622
greater,621
http://opensource.org/licenses/BSD-3-Clause,618
parent,616
part,616
otherwise,611
avoid,608
through,606
component,606
location,605
once,605
parameter,602
custom,601
FOR,601
parse,599
//=>,596
Rule,592
Create,591
matches,589
API,588
2011,587
absolute,586
reference,586
entry,585
config,581
sure,580
1-based,580
filename,577
\code,\,576
line:,574
column:,574
equal,573
binary,573
attribute,572
those,572
different,566
becomes,564
keys,564
still,564
js-indent-level:,563
{Boolean},563
Mode:,563
js;,563
parsed,562
@fileoverview,561
bits,560
Use,557
Software,555
child,554
Parse,553
store,553
\3,\,552
option,551
offset,546
every,546
prefix,543
parser,542
section,541
const,540
`false`,540
try,540
private,539
byte,539
children,538
4,537
previous,536
read,535
allows,534
stack,534
AST,533
collection,532
items,531
software,531
let,530
types,529
\1,\,528
text,526
comment,525
undefined,525
contain,521
',517
internal,515
aPath,513
now,511
String,510
cannot,507
request,504
associated,502
@typedef,502
multiple,502
integer,499
less,499
such,495
64,494
another,492
tokens,491
per,490
could,489
change,486
),486
means,486
contains,485
maps,483
exports,482
their,481
references,480
eslint-disable-line,480
Make,480
except,479
handle,478
write,477
global,477
To,477
lines,476
way,476
hash,474
convert,473
can't,473
based,472
closest,472
allow,470
might,468
istanbul,468
Set,464
(the,462
sorted,461
React,460
CSS,460
both,459
append,458
scope,458
takes,457
..,455
\string,\,453
@public,451
events,448
```js,448
\However,\,447
needle,443
[,442
see,442
even,441
\value,\,440
left,439
iterate,435
right,435
url,434
created,433
notice,431
size,431
comments,431
licensed,430
were,428
inside,427
selector,427
level,427
iterator,426
many,425
supported,425
Node,424
nothing,424
&&,424
calling,423
@see,422
applied,422
algorithm,420
copyright,419
tag,418
5,417
uses,417
Get,416
structure,416
||,416
<,413
iteration,411
source:,411
specific,410
Note:,410
Object,409
about,408
search,407
loop,407
static,406
common,404
copies,404
ensure,404
something,402
@name,401
browser,399
Converts,399
calls,398
\line,\,398
results,398
needed,398
Only,397
server,396
Definition,396
how,396
BUT,395
SourceMap,395
\LIABILITY,\,395
while,394
indices,394
{object},394
<replacement>,394
LIMITED,394
</replacement>,394
Function,394
#__PURE__,392
defined,392
digit,391
remaining,391
Node.js,390
{@link,389
conditions,388
http://www.opensource.org/licenses/mit-license.php,386
lower,385
keep,384
Author,383
errors,383
\Facebook,\,383
readable,383
identifier,382
member,381
comparator,380
props,379
back,378
(,377
\example,\,377
form,376
format,375
Specifies,373
\0,\,373
compare,370
OTHER,370
most,370
\[1,\,368
points,368
again,368
Tobias,367
plugin,367
@sokra,367
Koppers,367
know,367
Gets,366
never,365
special,364
invalid,363
Remove,363
JSON,361
and/or,360
take,360
behavior,360
currently,360
including,360
documentation,358
space,358
--------------------------------------------------------------------------,358
native,358
n,357
@method,355
literal,354
allowed,354
skip,354
e.g,351
during,350
file:,350
recognized,349
required,349
-1,349
These,348
render,348
binary),348
listener,347
stored,347
COPYRIGHT,346
within,345
\for,\,343
representation,342
Array,342
what,342
parameters,342
via,340
NOTE:,339
implementing,339
declaration,338
very,336
USE,336
SourceMapGenerator,336
parsing,335
actual,335
least,334
removed,334
existing,334
attributes,334
handler,334
pivot,334
interfaces,333
target,332
versions,332
Each,332
process,331
source's,330
simply,330
changes,330
Find,329
`object`,329
exists,328
provide,327
\loaded,\,327
written,326
needs,325
emit,325
body,324
Note,324
too,323
iface,322
replace,321
statement,319
`.is()`,319
interface-module,319
*those*,319
WARRANTIES,318
isn't,317
constructor,317
header,316
/*,316
sort,315
SourceNodes,314
!==,314
Either,313
IS,313
window,313
operator,313
OUT,312
import,311
happen,311
encoding,311
free,310
report,310
template,310
ordered,310
>=,310
Because,309
your,309
old,308
\map,\,306
export,306
b,306
entries,305
explicitly,305
things,305
BE,305
necessary,304
extra,303
Generated,303
symbols,303
JavaScript,302
bound,302
queue,302
\case,\,302
FITNESS,302
NO,301
table,301
DAMAGES,300
segment,299
TODO,298
there's,298
example,298
PROVIDED,298
x,297
require,297
below,297
processing,297
PARTICULAR,297
complete,296
go,296
us,296
matching,296
\"\AS\,296
count,295
SHALL,295
fallback,295
included,295
ARISING,294
generate,294
EVENT,294
correct,294
