Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,11,491,408,139,12,45,4,38,333,13,109
C:\Users\USER-PC\proyectos\react\wallaclone-tailwind\src,11,491,408,139,12,45,4,38,333,13,109
C:\Users\USER-PC\proyectos\react\wallaclone-tailwind\src\components,5,289,269,47,2,20,2,0,6,0,0
C:\Users\USER-PC\proyectos\react\wallaclone-tailwind\src\components\header,1,80,76,17,1,4,2,0,6,0,0
C:\Users\USER-PC\proyectos\react\wallaclone-tailwind\src\components\profile-menu,1,31,27,8,1,4,0,0,0,0,0
C:\Users\USER-PC\proyectos\react\wallaclone-tailwind\src\components\search-box,1,124,120,4,0,4,0,0,0,0,0
C:\Users\USER-PC\proyectos\react\wallaclone-tailwind\src\components\tag-header,1,19,16,12,0,3,0,0,0,0,0
C:\Users\USER-PC\proyectos\react\wallaclone-tailwind\src\components\tagsHeader,1,35,30,6,0,5,0,0,0,0,0
C:\Users\USER-PC\proyectos\react\wallaclone-tailwind\src\pages,1,15,12,6,0,3,0,0,0,0,0
C:\Users\USER-PC\proyectos\react\wallaclone-tailwind\src\pages\homepage,1,15,12,6,0,3,0,0,0,0,0
